POST_ID,TEXTO,LIKES
3060675670689174,"Comercial Fuentes
10 hrs ·",16
3060503367373071,"Comercial Fuentes
9 hrs ·",1
3060503307373077,"Comercial Fuentes
9 hrs ·",2
3060503207373087,"Comercial Fuentes
9 hrs ·",2
3060468564043218,"Comercial Fuentes
10 hrs ·",4
3060468424043232,"Comercial Fuentes
10 hrs ·",3
